Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest
Fri Jun 23 2023,SOFI230623C00010000,0.56,0.165,0.56,0.58,20666,1.1235,0.4748,0.2317,16183,10.00,SOFI230623P00010000,0.83,-0.075,0.81,0.85,1974,1.1176,-0.5243,0.2319,1622
Fri Jun 23 2023,SOFI230623C00010500,0.4,0.115,0.39,0.43,10040,1.1517,0.3748,0.2121,5504,10.50,SOFI230623P00010500,1.24,-0.045,1.14,1.25,91,1.1895,-0.6244,0.2124,123
Fri Jun 23 2023,SOFI230623C00011000,0.31,0.105,0.3,0.31,7265,1.2023,0.2937,0.1851,5820,11.00,SOFI230623P00011000,1.62,-0.085,1.48,1.67,348,1.2163,-0.7056,0.1854,275
Fri Jun 23 2023,SOFI230623C00011500,0.24,0.09,0.22,0.24,2825,1.2527,0.2298,0.1571,2776,11.50,SOFI230623P00011500,2.11,-0.04,1.81,2.2,49,1.2802,-0.7696,0.1575,41
Fri Jun 23 2023,SOFI230623C00012000,0.19,0.08,0.17,0.19,7036,1.312,0.1802,0.1313,2698,12.00,SOFI230623P00012000,2.33,-0.29,2.35,2.52,26,1.295,-0.8193,0.1317,26
Fri Jun 23 2023,SOFI230623C00012500,0.14,0.055,0.13,0.15,3762,1.3598,0.1418,0.1087,3589,12.50,SOFI230623P00012500,2.76,-0.34,2.83,2.99,8,1.3841,-0.8578,0.1091,55
Fri Jun 23 2023,SOFI230623C00013500,0,0,0,0,0,0,0,0,0,13.50,SOFI230623P00013500,0,0,0,0,0,0,0,0,0
Fri Jun 23 2023,SOFI230623C00014000,0,0,0,0,0,0,0,0,0,14.00,SOFI230623P00014000,0,0,0,0,0,0,0,0,0
Fri Jun 30 2023,SOFI230630C00005000,4.65,0.15,4.7,4.85,12,1.7959,0.9781,0.0146,2295,5.00,SOFI230630P00005000,0.03,0.015,0.01,0.03,144,1.6027,-0.0211,0.0144,1012
Fri Jun 30 2023,SOFI230630C00005500,4.29,0.24,4.15,4.35,97,1.3109,0.9703,0.0206,1963,5.50,SOFI230630P00005500,0.02,-0.005,0.01,0.04,9,1.4491,-0.0288,0.0205,1107
Fri Jun 30 2023,SOFI230630C00006000,3.75,0.225,3.7,3.9,103,1.4977,0.9589,0.0293,2720,6.00,SOFI230630P00006000,0.04,0,0.03,0.05,119,1.3674,-0.0401,0.0292,1283
Fri Jun 30 2023,SOFI230630C00006500,3.25,0.2,3.25,3.4,99,1.3925,0.9421,0.0418,1672,6.50,SOFI230630P00006500,0.06,0.005,0.05,0.07,41,1.2789,-0.0569,0.0418,1414
Fri Jun 30 2023,SOFI230630C00007000,2.82,0.25,2.78,2.9,97,1.2332,0.9171,0.0592,2123,7.00,SOFI230630P00007000,0.09,0.005,0.08,0.11,365,1.2161,-0.0818,0.0592,2744
Fri Jun 30 2023,SOFI230630C00007500,2.18,0.05,2.31,2.48,108,1.1757,0.8806,0.0823,2432,7.50,SOFI230630P00007500,0.14,0.015,0.14,0.16,411,1.1658,-0.1184,0.0824,2195
Fri Jun 30 2023,SOFI230630C00008000,1.88,0.17,1.91,2.02,377,1.1062,0.8291,0.1101,3600,8.00,SOFI230630P00008000,0.25,0.03,0.22,0.25,2230,1.1298,-0.1698,0.1102,43815
Fri Jun 30 2023,SOFI230630C00008500,1.55,0.24,1.55,1.65,705,1.1018,0.7612,0.139,2859,8.50,SOFI230630P00008500,0.35,0.02,0.34,0.37,24847,1.099,-0.2378,0.1392,26845
Fri Jun 30 2023,SOFI230630C00009000,1.28,0.28,1.22,1.3,31931,1.0715,0.6792,0.1635,5754,9.00,SOFI230630P00009000,0.51,0.01,0.5,0.54,1417,1.0841,-0.32,0.1638,1533
Fri Jun 30 2023,SOFI230630C00009500,0.99,0.26,0.96,1.02,2797,1.0756,0.5892,0.1786,2364,9.50,SOFI230630P00009500,0.74,0.015,0.72,0.77,1147,1.0758,-0.4101,0.179,835
Fri Jun 30 2023,SOFI230630C00010000,0.75,0.225,0.73,0.75,6275,1.0472,0.4991,0.1824,6298,10.00,SOFI230630P00010000,1.02,0,0.98,1.04,1137,1.0668,-0.5004,0.1829,1910
Fri Jun 30 2023,SOFI230630C00010500,0.58,0.2,0.56,0.59,2634,1.0704,0.4152,0.1764,2292,10.50,SOFI230630P00010500,1.3,-0.075,1.28,1.38,63,1.0726,-0.5846,0.177,41
Fri Jun 30 2023,SOFI230630C00011000,0.44,0.16,0.43,0.45,34679,1.0849,0.3411,0.1636,32035,11.00,SOFI230630P00011000,1.96,0.185,1.65,1.75,82,1.0947,-0.6589,0.1643,49
Fri Jun 30 2023,SOFI230630C00011500,0.34,0.14,0.33,0.36,1160,1.1132,0.2779,0.1471,1180,11.50,SOFI230630P00011500,2.1,-0.1,1.99,2.16,1,1.0729,-0.7224,0.1479,5
Fri Jun 30 2023,SOFI230630C00012000,0.27,0.12,0.26,0.29,11311,1.1456,0.2255,0.1295,4570,12.00,SOFI230630P00012000,2.8,0.155,2.42,2.62,15,1.1346,-0.7752,0.1304,159
Fri Jun 30 2023,SOFI230630C00012500,0.21,0.1,0.2,0.21,2621,1.1474,0.1825,0.1122,2929,12.50,SOFI230630P00012500,2.77,-0.33,2.78,3.05,1,1.0661,-0.8185,0.1132,1
Fri Jun 30 2023,SOFI230630C00013500,0,0,0,0,0,0,0,0,0,13.50,SOFI230630P00013500,0,0,0,0,0,0,0,0,0
Fri Jun 30 2023,SOFI230630C00014000,0,0,0,0,0,0,0,0,0,14.00,SOFI230630P00014000,0,0,0,0,0,0,0,0,0
