,dia,vah,vpoc,val,vol,range,vwap,open,high,low,close,vol_vah,vol_vpoc,vol_val,poc_naked,rango_area,delta,vix_close,dia_semanal
34,02/02/2023,12858.5,12793.75,12676.75,801100,1792,12738.58,12520.0,12949.75,12501.75,12846.75,1100,5700,2200,0,181.75,-1.6,18.73,Jueves
35,02/03/2023,12736.0,12622.25,12579.25,811800,1307,12697.53,12748.25,12878.0,12551.25,12624.0,2000,6600,2200,0,156.75,-8700.0,18.33,Viernes
36,02/06/2023,12567.5,12544.75,12499.75,529500,611,12533.68,12572.0,12608.5,12455.75,12515.5,3900,7900,3900,0,67.75,-954.0,19.43,Lunes
37,02/07/2023,12660.0,12511.25,12474.25,729600,1437,12602.37,12513.0,12818.5,12458.25,12776.75,717,6800,681,1,185.75,3800.0,18.66,Martes
38,02/08/2023,12693.5,12544.75,12512.75,572200,1183,12634.38,12747.0,12808.5,12512.75,12545.25,1300,6500,51,0,180.75,3200.0,19.63,Miercoles
39,02/09/2023,12726.25,12687.5,12524.5,607900,1448,12574.58,12555.0,12728.5,12366.5,12425.0,368,4700,2700,0,201.75,-1500.0,20.71,Jueves
40,02/10/2023,12361.0,12329.25,12278.25,594600,833,12337.21,12448.75,12451.5,12243.25,12346.25,1900,7700,2200,0,82.75,-2700.0,20.53,Viernes
41,02/13/2023,12567.0,12541.25,12429.25,461900,1207,12466.55,12357.5,12567.0,12265.25,12540.5,135,7200,2300,0,137.75,-1600.0,20.34,Lunes
42,02/14/2023,12436.5,12529.5,12436.5,710600,1186,12544.93,12547.25,12687.0,12390.5,12631.0,4900,6200,1400,0,155.75,-1700.0,18.91,Martes
43,02/15/2023,12650.0,12574.25,12539.25,561200,929,12620.8,12620.75,12756.5,12524.25,12730.0,1900,5500,1400,0,110.75,3800.0,18.23,Miercoles
44,02/16/2023,12692.0,12657.25,12544.25,669800,1350,12611.06,12740.0,12792.75,12455.25,12482.5,1100,8700,3600,0,147.75,2500.0,20.17,Jueves
45,02/17/2023,12401.5,12391.75,12315.75,621200,802,12352.64,12462.5,12466.25,12265.75,12390.0,3000,8700,5500,0,85.75,1500.0,20.02,Viernes
46,02/20/2023,12401.25,12376.5,12369.5,69200,285,12382.18,12382.75,12417.75,12346.5,12366.5,982,2200,1300,0,31.75,1500.0,20.02,Lunes
47,02/21/2023,12235.0,12112.25,12093.25,532400,1157,12196.22,12380.0,12379.5,12090.25,12096.75,3000,4500,939,0,141.75,-3800.0,22.87,Martes
48,02/22/2023,12147.75,12102.0,12079.0,632700,626,12108.17,12108.0,12190.5,12034.0,12097.5,4900,10200,4700,0,68.75,-686.0,22.29,Miercoles
49,02/23/2023,12260.25,12207.5,12127.5,632900,930,12163.75,12176.25,12261.0,12028.5,12207.5,372,8800,1500,0,132.75,-2500.0,21.14,Jueves
50,02/24/2023,11999.75,11962.0,11939.0,631100,1166,11994.22,12190.0,12214.5,11923.0,11997.0,7900,9400,4800,0,60.75,-2700.0,21.67,Viernes
51,02/27/2023,12134.75,12092.0,12073.0,574800,798,12102.12,12003.0,12189.5,11990.0,12083.25,3600,10200,4400,0,61.75,-5100.0,20.95,Lunes
52,02/28/2023,12122.5,12091.75,12062.75,642400,588,12099.67,12093.5,12172.75,12025.75,12072.25,4400,12800,4100,0,59.75,-6800.0,20.7,Martes
53,03/01/2023,12028.5,11961.75,11942.75,750100,868,12003.19,12041.25,12141.75,11924.75,11961.75,5000,12200,2400,0,85.75,3100.0,20.58,Miercoles
54,03/02/2023,11957.25,11907.5,11838.5,745500,1055,11941.03,11967.0,12096.25,11832.5,12062.0,1500,10000,521,1,118.75,1900.0,19.59,Jueves
55,03/03/2023,12267.75,12196.0,12060.0,66600,1268,12203.58,12306.25,12329.0,12012.0,12315.25,3100,7400,185,1,207.75,239.0,19.08,Viernes
56,03/06/2023,12043.0,12358.25,12311.25,603400,840,12379.9,12306.25,12486.25,12276.25,12323.5,2200,8400,1700,0,91.75,-7300.0,18.61,Lunes
57,03/07/2023,12293.0,12230.25,12165.25,676100,956,12249.99,12320.25,12381.25,12142.25,12169.0,1800,7900,5400,0,127.75,-4600.0,19.59,Martes
58,03/08/2023,12207.0,12176.25,12152.25,624000,585,12186.5,12170.0,12254.5,12108.25,1228.25,5200,11800,5400,0,54.75,-2700.0,19.11,Miercoles
59,03/09/2023,12268.25,12007.5,11977.5,798000,1504,12185.78,12231.0,12353.5,11977.5,12007.25,3500,5800,69,0,290.75,2800.0,22.61,Jueves
60,03/10/2023,11980.75,11840.0,11802.0,808000,1256,11937.12,12005.0,12109.0,11795.0,11840.25,4600,5400,1300,0,178.25,682.0,24.8,Viernes
61,03/13/2023,12191.0,12053.25,12033.25,639400,1666,12070.49,11894.75,12222.75,11806.25,11931.75,1200,4500,1300,0,157.75,2800.0,26.52,Lunes
62,03/14/2023,12325.0,12263.25,12175.25,641500,1297,12248.71,11960.0,12356.5,12032.25,12207.0,5200,6400,1100,0,149.75,-1800.0,23.73,Martes
63,03/15/2023,12317.5,12223.75,12131.75,778900,1312,12264.9,12200.75,12424.75,12096.75,12247.75,1400,6000,667,0,185.75,-1200.0,26.14,Miercoles
64,03/16/2023,12733.75,12716.0,12431.0,694700,1687,12542.69,12264.5,12735.75,12314.0,12583.0,87,6000,1900,0,302.75,2900.0,22.99,Jueves
65,03/17/2023,12710.25,12639.5,12601.5,710700,967,12671.5,12575.75,12811.25,12569.5,12594.65,4200,8500,2100,0,108.75,171.0,25.51,Viernes
66,03/20/2023,12681.0,12655.25,12592.25,673300,809,12630.89,12690.0,12727.5,12525.25,12688.5,2400,9700,4600,0,88.75,-5900.0,24.15,Lunes
67,03/21/2023,12818.25,12775.5,12720.5,556700,887,12785.89,12699.75,12898.25,12676.5,12867.25,2000,6000,2200,0,97.75,3100.0,21.38,Martes
68,03/24/2023,12856.75,12800.0,12773.0,668500,787,12815.22,12871.5,12924.75,12728.0,12890.25,3800,9400,2800,0,83.75,-552.0,21.74,Viernes
69,03/27/2023,12960.25,12939.5,12819.5,554500,876,12862.11,12916.0,12984.5,12765.5,12788.5,797,5200,3200,0,140.75,436.0,20.6,Lunes
70,03/28/2023,12722.0,12704.25,12653.25,531700,797,12707.73,12810.5,12833.5,12634.25,12732.5,2200,9300,4200,1,68.75,372.0,19.97,Martes
71,03/29/2023,12950.75,12910.0,12855.0,556200,1008,12900.7,12745.5,12994.0,12742.0,12965.0,2500,11800,995,1,95.75,941.0,19.12,Miercoles
72,03/30/2023,13090.25,13080.5,13041.5,571700,721,13054.43,12962.5,13111.75,12931.5,13082.0,6900,11700,5500,0,48.75,-774.0,19.02,Jueves
73,03/31/2023,13250.25,13229.5,13096.5,591600,1016,13191.25,13084.25,13311.5,13057.5,13301.75,1300,7500,2900,0,153.75,887.0,18.7,Viernes
74,04/03/2023,13270.75,13227.0,13194.0,536100,499,13216.46,13262.0,13278.75,13154.0,13270.0,3200,7600,4500,0,76.75,2300.0,18.55,Lunes
75,04/04/2023,13272.0,13230.25,13188.25,571000,722,13247.71,13259.0,13348.75,13168.25,13219.0,4200,8500,2500,0,83.75,-2600.0,19.0,Martes
76,04/05/2023,13119.75,13044.0,13008.0,585100,965,13096.57,13230.0,13247.25,13006.0,13079.75,1600,9000,686,0,111.75,-772.0,19.08,Miercoles
77,04/06/2023,13141.0,13028.25,12954.25,593300,951,13080.46,13072.75,13191.0,12953.25,13170.75,2900,7900,187,0,186.75,-46.0,18.4,Jueves
78,04/07/2023,13173.75,13158.0,13155.0,41200,281,13163.85,13162.25,13192.25,13122.0,13185.0,1200,1800,1600,0,18.75,117.0,18.4,Viernes
79,04/10/2023,13175.25,13145.5,13038.5,549000,943,13079.91,13179.75,13203.25,12967.5,13158.0,201,8300,2800,0,136.75,2000.0,18.97,Lunes
80,04/11/2023,13122.25,13081.5,13063.5,544000,621,13107.45,13163.25,13208.75,13053.5,13074.75,4900,10300,4300,0,58.75,-3700.0,19.25,Martes
81,04/12/2023,13120.5,13074.75,12995.75,678700,1216,13064.79,13073.75,13241.75,12937.75,12952.25,1000,11100,3700,0,124.75,-11500.0,19.09,Miercoles
82,04/13/2023,13227.25,13205.5,13068.5,546300,1210,13111.21,12957.0,13228.0,12925.5,13209.75,237,8300,2900,0,158.75,528.0,17.8,Jueves
83,04/14/2023,13185.75,13135.0,13099.0,616900,788,13150.62,13183.0,13255.0,13058.0,13181.25,5500,7600,3200,0,86.75,1700.0,17.07,Viernes
84,04/17/2023,13195.5,13169.75,13120.75,536800,565,13147.2,13212.5,13218.0,13076.75,13186.5,2800,8000,3200,0,74.75,3600.0,16.95,Lunes
