Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2023-07-07,NYSE American Options (A),2380421,237418,496878458.000000,0,0,0.000000,2380421,237418,496878458.000000
2023-07-07,BOX Options (B),2388826,279139,573057497.000000,0,0,0.000000,2388826,279139,573057497.000000
2023-07-07,Cboe Options Exchange (C),4516564,621039,1011358866.000000,3632576,600565,5715380064.000000,8149140,1221604,6726738930.000000
2023-07-07,MIAX Emerald (D),1182820,201933,243557794.000000,0,0,0.000000,1182820,201933,243557794.000000
2023-07-07,Cboe EDGX Options Exchange (E),2288705,345179,369270985.000000,0,0,0.000000,2288705,345179,369270985.000000
2023-07-07,Nasdaq GEMX (H),1268842,175366,211863076.000000,517,260,9762397.000000,1269359,175626,221625473.000000
2023-07-07,Nasdaq ISE (I),2480432,311512,760698732.000000,22244,8952,107511691.000000,2502676,320464,868210423.000000
2023-07-07,Nasdaq MRX (J),784304,116595,142799091.000000,0,0,0.000000,784304,116595,142799091.000000
2023-07-07,MIAX Options Exchange (M),2717385,414182,514896436.000000,0,0,0.000000,2717385,414182,514896436.000000
2023-07-07,NYSE Arca Options (N),4511112,615915,1045590508.000000,0,0,0.000000,4511112,615915,1045590508.000000
2023-07-07,MIAX Pearl (P),2689292,280395,431185910.000000,0,0,0.000000,2689292,280395,431185910.000000
2023-07-07,NASDAQ Options Market (Q),2484730,367644,516791318.000000,0,0,0.000000,2484730,367644,516791318.000000
2023-07-07,Nasdaq BX Options (T),1393863,222784,342010445.000000,0,0,0.000000,1393863,222784,342010445.000000
2023-07-07,Cboe C2 Options Exchange (W),1781057,223717,273154044.000000,10723,3700,13032922.000000,1791780,227417,286186966.000000
2023-07-07,Nasdaq PHLX (X),4242037,290721,1138233781.000000,21701,9899,124635344.000000,4263738,300620,1262869125.000000
2023-07-07,Cboe BZX Options Exchange (Z),2378502,316944,482947047.000000,2014,437,5275089.000000,2380516,317381,488222136.000000
2023-07-06,NYSE American Options (A),2399677,207250,497705660.000000,0,0,0.000000,2399677,207250,497705660.000000
2023-07-06,BOX Options (B),2911680,259097,875623383.000000,0,0,0.000000,2911680,259097,875623383.000000
2023-07-06,Cboe Options Exchange (C),4156514,552570,1039424173.000000,4193867,568583,6849779284.000000,8350381,1121153,7889203457.000000
2023-07-06,MIAX Emerald (D),1062936,181044,247653316.000000,0,0,0.000000,1062936,181044,247653316.000000
2023-07-06,Cboe EDGX Options Exchange (E),2118620,313422,375442752.000000,0,0,0.000000,2118620,313422,375442752.000000
