Ticker,Short Vol. [1M],Short Vol. %,Net Short Vol. [1M],Net Short Vol. ($100M),DP Position [1M],DP Position ($1B)
SHV,1.132403,62.01172875,0.438695,0.484143802,4.070509,0.4483167978
XLV,1.110577,66.02218501,0.539027,0.7058558565,3.391804,0.446258673
ALB,0.20216,55.58916374,0.040652,0.0923084964,1.9103,0.436372669
WSO,0.078505,81.25970396,0.0604,0.22712816,1.225437,0.4297990964
ITB,0.892097,85.32738912,0.738695,0.627004316,5.275966,0.4249040884
SGOV,0.743584,63.35427012,0.313476,0.3152314656,4.149327,0.4162260146
BNDX,1.199439,74.58098527,0.790641,0.386623449,8.290813,0.403892598
NET,0.663745,65.83139102,0.31924,0.204090132,6.114517,0.4015765114
PSA,0.132906,49.38999238,-0.003283,-0.009504285,1.397137,0.3995333074
DAL,6.044433,56.67535645,1.423855,0.6562547695,9.764665,0.3964373797
SWK,0.420515,71.91351533,0.256279,0.2375962609,4.572547,0.395892293
SPIB,2.00748,81.11800514,1.540195,0.494094556,12.237432,0.3928636815
PATH,3.326444,75.43331517,2.243107,0.3793093937,22.162453,0.3903329967
QYLD,3.419284,64.74814231,1.557669,0.2735266764,21.962601,0.3881436604
FTNT,0.995999,68.46299729,0.537199,0.3957007834,5.332054,0.3798027048
FIVE,0.103053,68.06446286,0.054701,0.110167814,2.041842,0.3774550384
WOLF,0.975532,74.56052389,0.642688,0.3613191936,6.939697,0.3659485518
DRI,0.195509,53.15561235,0.023213,0.0379277207,2.237486,0.364604731
DFAC,0.692922,63.67931421,0.297701,0.079486167,13.780686,0.3619044607
RBLX,2.5943,48.05224753,-0.210315,-0.087953733,9.103129,0.3615792736
KWEB,2.69239,59.58481684,0.866196,0.24036939,12.872147,0.3615363423
BILL,0.633049,70.83216315,0.372367,0.4276634995,3.21272,0.3588978234
LULU,0.108701,42.92935875,-0.035807,-0.1341043764,0.944692,0.3586777937
PH,0.146505,61.10230638,0.05324,0.202413156,1.004959,0.3538228312
BBAG,0.100568,40.58483355,-0.046661,-0.0215993769,7.63833,0.3537317824
GNRC,0.812648,68.46972546,0.438424,0.6248857272,2.796469,0.3524467184
KRE,2.022537,43.79746172,-0.572858,-0.2334969208,8.344316,0.3469937812
ROK,0.130916,58.56543406,0.038294,0.1235594204,1.160599,0.3467603521
HYG,6.305628,45.00202864,-1.400619,-1.0431810312,4.591695,0.3452601323
EWY,0.253562,55.91618372,0.053656,0.0346456792,5.264308,0.3434808148
CCL,18.361364,59.59684432,5.913439,0.9396454571,20.7764,0.3417884238
XME,0.288974,68.81054206,0.157992,0.0785062248,6.92365,0.3377407617
BITO,2.087823,69.84129161,1.186264,0.2041560344,21.134889,0.3337656513
MAR,0.214183,49.3718535,-0.00545,-0.009663395,1.882735,0.3327768054
ABNB,0.727562,50.73088079,0.020964,0.0268108596,2.706827,0.3302329104
VXUS,0.518975,41.76185583,-0.204751,-0.1139644066,5.971531,0.3284589942
MBB,0.447733,18.00773588,-1.590871,-1.4898506915,3.498131,0.3274733747
FND,0.268856,70.94967792,0.158773,0.162742325,3.395067,0.3264742323
VB,0.205052,50.92220316,0.007427,0.0144796792,1.678229,0.325386564
OMFL,0.369571,86.27539324,0.31078,0.149578414,6.815659,0.3246208473
TUA,0.066534,78.86258845,0.048701,0.0111914898,13.693079,0.3225219684
ALGN,0.084811,70.09173554,0.048622,0.1656502918,1.000269,0.3179581872
OIH,0.096202,69.45742031,0.053899,0.1493325694,1.165765,0.31600557
WSM,0.226227,75.58536585,0.153154,0.1935407098,2.532957,0.3135894173
IWB,0.060324,41.89777676,-0.023331,-0.0559384056,1.334265,0.3117777652
INFY,1.96263,72.29201905,1.210396,0.1890638552,19.904445,0.3091341573
DECK,0.068187,67.68679459,0.035635,0.182465454,0.612407,0.3063300881
ADI,0.5072,55.85903084,0.1064,0.20469232,1.697824,0.3030739082
BLK,0.095539,63.43469889,0.040468,0.2770601152,0.445725,0.3027322469
BCE,0.093401,33.69249971,-0.090414,-0.0405778032,6.52778,0.3018090823
EXPD,0.189319,60.44281974,0.065418,0.0774418284,2.566973,0.2965658673
YUM,0.151956,44.03960075,-0.041132,-0.0552320496,2.217756,0.2964440226
SPLG,1.214595,67.4488717,0.628426,0.3221940102,5.75569,0.2950483336
BBJP,0.051654,37.16141843,-0.035691,-0.0181702881,5.67004,0.2946377732
CM,0.060718,41.90945548,-0.023443,-0.0099304548,6.976054,0.2929068289
QQQM,0.426417,74.93265292,0.283767,0.4247708223,1.96223,0.2893438205
HUBS,0.081208,68.14867031,0.043253,0.2230946487,0.558845,0.2891284734
SJM,0.11006,61.83111331,0.042119,0.0635070282,1.920899,0.2882318061
HCA,0.162047,42.71667813,-0.055259,-0.164450784,1.031005,0.2877139646
WM,0.179115,56.21657418,0.039614,0.0668605092,1.742206,0.2853856955
SPGI,0.104202,55.97864042,0.022258,0.0870310058,0.76056,0.2849797353
M,2.021197,57.8977461,0.551417,0.0861313354,19.241669,0.2834739893
SPYV,1.33815,84.88779637,1.099925,0.468348065,6.635353,0.2829804486
ZM,0.24485,35.09503682,-0.207977,-0.1415283485,4.125468,0.2825202281
SOXX,0.09687,54.40637128,0.015691,0.0789696648,0.556084,0.279429977
COF,0.239163,52.4838212,0.022637,0.024606419,2.595116,0.2789002727
BIDU,0.286143,48.54645491,-0.017135,-0.024657265,1.999812,0.2737641043
IXUS,0.318522,71.60758606,0.192228,0.1194120336,4.386826,0.2732315228
RJF,0.255788,75.58992757,0.173187,0.1741568472,2.808454,0.2720806917
ULTA,0.162219,51.25321875,0.007933,0.0366845719,0.594335,0.2692992308
ILMN,0.631601,64.11034351,0.278024,0.5099794232,1.332283,0.2663632406
JAAA,0.694253,89.66908151,0.614267,0.3059663927,5.349158,0.2659308189
TROW,0.156344,55.86986664,0.032852,0.0358842396,2.393761,0.2657870166
DXJ,0.138274,81.26212109,0.10639,0.0872398,3.228645,0.2617851422
BJ,0.490743,67.92177846,0.258974,0.1621695188,4.210681,0.2614867267
FDS,0.111611,68.97444613,0.061407,0.2458367838,0.63547,0.2614322391
TWLO,0.362727,48.96178242,-0.015383,-0.0098082008,3.871504,0.2611611684
ESS,0.078803,61.23475017,0.028916,0.0668046348,1.125717,0.2589378901
SPCE,7.633359,60.23522592,2.594135,0.112585459,53.240376,0.2583469567
WAT,0.100782,81.09726167,0.077291,0.1992098234,0.985523,0.2561005496
NUE,0.275575,66.29355119,0.135461,0.2177806497,1.728783,0.2560992614
MCHP,0.663842,57.03815592,0.163828,0.1421699384,3.066188,0.2536987415
SJNK,0.442721,63.70810495,0.190521,0.0467538534,10.286413,0.2526811189
EZU,0.162153,31.28452279,-0.194011,-0.0874795599,5.613662,0.2521645976
KMX,0.468512,55.35362796,0.090626,0.0746939492,3.12328,0.2496092752
RF,0.523458,53.37579267,0.066213,0.0116005176,13.740032,0.248681714
AON,0.107205,59.9607365,0.035618,0.1188358952,0.763598,0.2482811347
INDA,0.729383,86.89151293,0.619348,0.2664435096,5.803528,0.2479850619
KLAC,0.137552,59.80833783,0.045116,0.2151717388,0.531099,0.2474393213
SRLN,0.22288,53.48884649,0.029075,0.012101015,5.979873,0.246567025
VMBS,0.586273,64.21489486,0.25956,0.119631204,5.268256,0.2428585495
STLD,0.269635,53.9928713,0.03988,0.042563924,2.398681,0.2424462751
DDOG,0.532691,54.92707372,0.095567,0.0914480623,2.507363,0.242085005
DPZ,0.087583,76.02690972,0.059966,0.1948475238,0.774185,0.2407918131
ZION,0.432729,51.08110692,0.018317,0.005000541,8.232879,0.2400356437
FDN,0.045891,51.50389441,0.00268,0.004298452,1.504604,0.2380105112
CE,0.193743,72.64726836,0.120796,0.1366685944,2.178355,0.2370198165
Z,0.730419,55.96857443,0.155786,0.0796533818,5.075964,0.237008946
PODD,0.104832,49.44649098,-0.002347,-0.0068971289,0.827921,0.2345978479
DOW,0.480351,46.86790177,-0.064202,-0.0337509914,4.514137,0.2334322172
IUSB,0.59174,69.5259233,0.332373,0.1512629523,5.083554,0.2312126954
MPC,0.3213,55.07144032,0.059176,0.0674488048,2.092554,0.2297922923
KR,0.629605,52.09495173,0.050638,0.0236833926,4.965472,0.2274811415
RH,0.209702,65.0704846,0.097135,0.2968154195,0.824918,0.2269191856
VTEB,0.69047,48.52496667,-0.041977,-0.0211060356,4.46701,0.2236952215
MINT,0.080582,26.04763321,-0.1482,-0.14774058,2.235044,0.222791942
AMAT,1.266467,66.36387741,0.624566,0.915301473,1.613319,0.2223343327
VGLT,0.155611,74.51278024,0.102384,0.0651878928,3.501518,0.2216995816
OVV,0.578067,71.36048174,0.346068,0.1249651548,5.885591,0.2167322491
MGK,0.048797,42.07290787,-0.018388,-0.042494668,0.948097,0.2148131489
SLG,2.010048,64.46627051,0.902112,0.2771288064,8.03687,0.2130519143
EFG,0.191862,73.71992408,0.123466,0.1163420118,2.236243,0.2119650294
CHPT,2.971701,58.98896009,0.905678,0.0712768586,25.276693,0.2112854532
AWK,0.830473,72.12178687,0.509459,0.7279150192,1.475872,0.2110599634
PAYC,0.085531,51.08097132,0.00362,0.011365714,0.688792,0.2105967529
POOL,0.094111,78.37032102,0.068137,0.249517694,0.604259,0.2105515952
XLRE,0.784084,72.23138836,0.482651,0.1788704606,5.661569,0.2105028149
IBM,0.521797,55.63650748,0.105726,0.1399177884,1.646339,0.2100015166
ACWI,0.185528,16.80625986,-0.732866,-0.6943172484,2.255488,0.209379612
THO,0.130479,71.99635822,0.079728,0.0811312128,2.28259,0.207369867
