Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest
Fri Jun 02 2023,AMC230602C00008000,0.01,-0.005,0,0.02,38,1.8921,0.0258,0.0484,3319,8.00,AMC230602P00008000,3.35,0,3.35,3.6,0,2.8419,-0.9674,0.0483,125
Fri Jun 02 2023,AMC230602C00008500,0.01,-0.005,0,0.03,8,2.1878,0.021,0.0384,614,8.50,AMC230602P00008500,3.75,-0.125,3.85,4,3,2.5498,-0.9721,0.0383,40
Fri Jun 02 2023,AMC230602C00009000,0.01,0.005,0,0.02,7,2.2163,0.0175,0.0312,490,9.00,AMC230602P00009000,4.35,-0.025,4.35,4.55,1,3.0274,-0.9757,0.0311,10
Fri Jun 02 2023,AMC230602C00009500,0.01,0,0,0.03,0,2.5012,0.0148,0.0258,183,9.50,AMC230602P00009500,4.78,-0.07,4.85,5.05,3,3.2085,-0.9784,0.0257,103
Fri Jun 09 2023,AMC230609C00000500,4.2,0.05,4,4.3,1,7.1797,1,0,3,0.50,AMC230609P00000500,0.01,0,0,0.01,0,4.9439,-0.0022,0.0016,3
Fri Jun 09 2023,AMC230609C00001000,3.7,0,3.55,3.75,0,4.9133,1,0,3,1.00,AMC230609P00001000,0.01,0,0,0.01,0,3.3848,-0.0047,0.0044,45
Fri Jun 09 2023,AMC230609C00001500,0,0,3.05,3.25,0,3.6829,1,0,0,1.50,AMC230609P00001500,0,0,0,0.02,0,2.7672,-0.0082,0.0093,0
Fri Jun 09 2023,AMC230609C00002000,2.95,0,2.5,2.79,0,2.732,1,0,2,2.00,AMC230609P00002000,0.09,0,0,0.02,0,2.097,-0.0139,0.0184,36
Fri Jun 09 2023,AMC230609C00002500,0,0,2,2.28,0,1.9967,0.9991,0.0067,0,2.50,AMC230609P00002500,0.11,0,0,0.03,0,1.6908,-0.0236,0.036,50
Fri Jun 09 2023,AMC230609C00003000,1.7,0,1.5,1.83,0,1.7857,0.9916,0.079,26,3.00,AMC230609P00003000,0.07,0.02,0,0.05,2,1.3716,-0.0418,0.0728,14
Fri Jun 09 2023,AMC230609C00003500,1.1,-0.09,1.08,1.29,2,1.4065,0.9589,0.206,4,3.50,AMC230609P00003500,0.03,0.005,0,0.04,51,0.8973,-0.0802,0.1559,277
Fri Jun 09 2023,AMC230609C00004000,0.67,-0.025,0.62,0.7,80,0.7857,0.8577,0.4264,153,4.00,AMC230609P00004000,0.08,0.005,0.06,0.08,609,0.78,-0.1766,0.3537,2877
Fri Jun 09 2023,AMC230609C00004500,0.29,-0.05,0.28,0.3,644,0.7014,0.5855,0.6846,2809,4.50,AMC230609P00004500,0.2,-0.025,0.21,0.22,317,0.6942,-0.4241,0.6256,2322
Fri Jun 09 2023,AMC230609C00005000,0.14,-0.035,0.13,0.14,1896,0.8093,0.301,0.5072,3100,5.00,AMC230609P00005000,0.55,-0.025,0.53,0.59,404,0.7835,-0.6894,0.4879,2284
Fri Jun 09 2023,AMC230609C00005500,0.06,-0.03,0.06,0.07,4115,0.894,0.1715,0.3071,10632,5.50,AMC230609P00005500,1.02,0.05,0.89,1.08,2029,0.8531,-0.814,0.3003,3668
Fri Jun 09 2023,AMC230609C00006000,0.03,-0.025,0.02,0.04,3052,0.9456,0.1107,0.1973,6403,6.00,AMC230609P00006000,1.47,0.01,1.42,1.46,14487,0.7044,-0.8732,0.1942,15142
Fri Jun 09 2023,AMC230609C00006500,0.03,-0.015,0.02,0.04,6491,1.1458,0.0776,0.1356,3498,6.50,AMC230609P00006500,1.85,-0.09,1.83,2.09,1070,1.1253,-0.9058,0.134,1179
Fri Jun 09 2023,AMC230609C00007000,0.03,-0.005,0.02,0.06,1012,1.405,0.0574,0.0983,3309,7.00,AMC230609P00007000,2.37,-0.05,2.31,2.6,17,1.3097,-0.9256,0.0973,99
Fri Jun 09 2023,AMC230609C00007500,0.03,-0.01,0.01,0.03,44,1.3765,0.0443,0.0742,654,7.50,AMC230609P00007500,2.76,-0.175,2.82,3.15,5,1.6794,-0.9386,0.0735,22
Fri Jun 09 2023,AMC230609C00008000,0.02,-0.005,0.01,0.02,507,1.4457,0.0351,0.0578,5739,8.00,AMC230609P00008000,3.34,-0.11,3.35,3.6,63,1.7665,-0.9477,0.0573,183
Fri Jun 09 2023,AMC230609C00008500,0.05,0,0.01,0.03,0,1.6428,0.0286,0.0461,374,8.50,AMC230609P00008500,3.9,0,3.75,4.1,0,0,-0.9542,0.0458,1
Fri Jun 09 2023,AMC230609C00009000,0.03,0.015,0.01,0.03,23,1.761,0.0236,0.0376,325,9.00,AMC230609P00009000,4.3,-0.125,4.35,4.6,1,2.0524,-0.9591,0.0373,4
Fri Jun 09 2023,AMC230609C00009500,0.02,0.005,0,0.03,1,1.7909,0.0199,0.0311,115,9.50,AMC230609P00009500,0,0,4.85,5.05,0,1.9182,-0.9628,0.031,0
Fri Jun 16 2023,AMC230616C00000500,4.35,0,4,4.3,0,6.2832,1,0,0,0.50,AMC230616P00000500,0,0,0,0.01,0,4.0245,-0.0017,0.0013,0
Fri Jun 16 2023,AMC230616C00001000,4.02,0,3.5,3.8,0,4.2984,1,0,11,1.00,AMC230616P00001000,0.01,0,0,0.01,0,2.7504,-0.0045,0.0043,48692
Fri Jun 16 2023,AMC230616C00001500,3.75,0,3,3.3,0,3.2286,1,0,2,1.50,AMC230616P00001500,0,0,0,0.02,0,2.2445,-0.0093,0.0102,0
Fri Jun 16 2023,AMC230616C00002000,2.71,0,2.52,2.76,0,2.3128,1,0,24,2.00,AMC230616P00002000,0.01,-0.005,0.01,0.02,20,1.8129,-0.0176,0.0215,123488
Fri Jun 16 2023,AMC230616C00002500,0,0,2.02,2.26,0,1.7812,1,0,0,2.50,AMC230616P00002500,0,0,0,0.04,0,1.4379,-0.0323,0.0435,0
Fri Jun 16 2023,AMC230616C00003000,1.66,-0.03,1.58,1.76,2,1.6053,0.9898,0.0866,225,3.00,AMC230616P00003000,0.03,-0.005,0.02,0.03,163,1.1004,-0.0595,0.0867,175690
Fri Jun 16 2023,AMC230616C00003500,1.25,0.065,0.88,1.26,12,0,0.938,0.2426,7,3.50,AMC230616P00003500,0.06,-0.005,0.05,0.06,31,0.9283,-0.114,0.1731,409
