Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest
Mon May 22 2023,NDXP230522C13880000,21.5,-28.45,17.1,20.2,20,0.1061,0.2951,0.0026,8,13880.00,NDXP230522P13880000,80.63,-24.92,97.7,112.1,1,0.1046,-0.7047,0.0026,1
Tue May 23 2023,NDXP230523C13725000,175.9,20.6,107.7,120.6,4,0.1327,0.6717,0.0019,11,13725.00,NDXP230523P13725000,42,-13,40.4,45.4,5,0.1326,-0.3282,0.0019,4
Tue May 23 2023,NDXP230523C13730000,162.28,10.83,104.4,117.1,3,0.1322,0.6627,0.0019,8,13730.00,NDXP230523P13730000,46.65,-9.9,40.7,47.1,1,0.1324,-0.3372,0.0019,1
Tue May 23 2023,NDXP230523C13740000,134.26,-11.24,98,110.2,22,0.1318,0.6441,0.002,13,13740.00,NDXP230523P13740000,45,-14.4,44.9,50.3,4,0.1314,-0.3558,0.002,2
Tue May 23 2023,NDXP230523C13750000,152.4,0,91.7,103.7,0,0.1314,0.6249,0.002,5,13750.00,NDXP230523P13750000,58.6,-3.95,49.5,55,3,0.1309,-0.3749,0.002,6
Tue May 23 2023,NDXP230523C13760000,117.3,-14.25,85.6,97,22,0.1306,0.6052,0.002,14,13760.00,NDXP230523P13760000,53,-12.9,53.2,58,1,0.1296,-0.3946,0.002,3
Tue May 23 2023,NDXP230523C13770000,119.98,-4.82,79.7,91,5,0.1308,0.585,0.0021,13,13770.00,NDXP230523P13770000,60.08,-9.52,57.1,62.8,1,0.1272,-0.4148,0.0021,1
Tue May 23 2023,NDXP230523C13775000,42.61,0,76.7,87.8,0,0.1298,0.5748,0.0021,5,13775.00,NDXP230523P13775000,63,-8.3,56.4,64.9,2,0.1298,-0.4251,0.0021,1
Tue May 23 2023,NDXP230523C13780000,107.56,-10.99,74.1,85,18,0.13,0.5644,0.0021,14,13780.00,NDXP230523P13780000,78,4.95,58.4,67.1,5,0.1291,-0.4354,0.0021,3
Tue May 23 2023,NDXP230523C13790000,114.85,2.35,68.7,79.2,3,0.1289,0.5435,0.0021,6,13790.00,NDXP230523P13790000,77.2,0.25,62.7,71.6,2,0.1286,-0.4564,0.0021,6
Tue May 23 2023,NDXP230523C13800000,88.67,-17.63,63.6,72.2,31,0.1281,0.5222,0.0022,21,13800.00,NDXP230523P13800000,66.38,-15.72,67.2,76.4,6,0.1281,-0.4776,0.0022,5
Tue May 23 2023,NDXP230523C13810000,66,-35,58.8,67.1,16,0.1279,0.5008,0.0022,11,13810.00,NDXP230523P13810000,83.45,-1.75,71.9,82.5,1,0.1272,-0.4991,0.0022,3
Tue May 23 2023,NDXP230523C13820000,4.2,0,54.2,62.3,0,0.127,0.4792,0.0022,2,13820.00,NDXP230523P13820000,81.3,-8.3,76.9,87.9,2,0.1269,-0.5207,0.0022,3
Tue May 23 2023,NDXP230523C13825000,70,0,52,60,0,0.1268,0.4684,0.0022,3,13825.00,NDXP230523P13825000,83.6,-8.5,79.5,90.7,1,0.1265,-0.5315,0.0022,1
Tue May 23 2023,NDXP230523C13830000,65.12,-25.58,49.8,57.8,7,0.127,0.4576,0.0022,28,13830.00,NDXP230523P13830000,85.8,-8.4,82.1,93.5,2,0.127,-0.5423,0.0022,2
Tue May 23 2023,NDXP230523C13840000,60.8,-23.7,47.2,52.8,2,0.1263,0.436,0.0022,1,13840.00,NDXP230523P13840000,85.6,-13.35,88.2,100.2,1,0.1259,-0.5638,0.0022,1
Tue May 23 2023,NDXP230523C13850000,54.7,-24.65,43.8,48.3,20,0.1271,0.4146,0.0021,55,13850.00,NDXP230523P13850000,0,0,93.9,106.3,0,0.1262,-0.5853,0.0021,0
Tue May 23 2023,NDXP230523C13860000,45,-29.65,39.6,44.5,5,0.1268,0.3934,0.0021,4,13860.00,NDXP230523P13860000,0,0,100,112.8,0,0.1233,-0.6065,0.0021,0
Tue May 23 2023,NDXP230523C13870000,54.5,0,35.2,41,0,0.1263,0.3724,0.0021,14,13870.00,NDXP230523P13870000,0,0,106.2,119.4,0,0.1228,-0.6274,0.0021,0
Tue May 23 2023,NDXP230523C13875000,40.2,-27.4,35,39.2,14,0.1262,0.3621,0.0021,21,13875.00,NDXP230523P13875000,0,0,109.4,122.9,0,0.1227,-0.6378,0.0021,0
Tue May 23 2023,NDXP230523C13880000,42.43,-23.37,33.1,37.6,9,0.1261,0.3518,0.002,2,13880.00,NDXP230523P13880000,0,0,112.7,126.3,0,0.1223,-0.648,0.002,0
Wed May 24 2023,NDXP230524C13725000,157.9,-11.7,124.5,135.9,4,0.1439,0.6473,0.0016,5,13725.00,NDXP230524P13725000,65.55,-0.45,54,59.9,1,0.143,-0.3526,0.0016,3
Wed May 24 2023,NDXP230524C13730000,173.13,0,121.2,132.5,0,0.1434,0.6396,0.0016,0,13730.00,NDXP230524P13730000,0,0,55.4,61.5,0,0.1426,-0.3603,0.0016,0
