
Standard & Poors 500 Index,Last: 3860.8101,Change:  -59.7499
"Date: 15 de marzo de 2023, 11:55 GMT-4",Bid: 3859.6299,Ask: 3861.51,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Mar 15 2023,SPXW230315C03710000,180.35,0,149.3,151.1,0,0,0.9961,0.0002,19,3710.00,SPXW230315P03710000,0.1,-0.075,0.05,0.1,2081,0.6878,-0.0039,0.0002,3902
Wed Mar 15 2023,SPXW230315C03715000,0,0,144.3,146.1,0,0,0.9956,0.0002,0,3715.00,SPXW230315P03715000,0.07,-0.13,0.05,0.15,665,0.6881,-0.0044,0.0002,428
Wed Mar 15 2023,SPXW230315C03720000,213.17,0,139.3,141.1,0,0.5582,0.995,0.0003,13,3720.00,SPXW230315P03720000,0.1,-0.1,0.05,0.15,1224,0.6669,-0.005,0.0003,850
Wed Mar 15 2023,SPXW230315C03725000,173.82,0,134.3,136.2,0,0.5395,0.9942,0.0003,8,3725.00,SPXW230315P03725000,0.1,-0.1,0.05,0.15,1154,0.6456,-0.0058,0.0003,2809
Wed Mar 15 2023,SPXW230315C03730000,273.4,0,129.3,131.2,0,0.5208,0.9932,0.0004,18,3730.00,SPXW230315P03730000,0.15,-0.075,0.1,0.15,1565,0.6403,-0.0068,0.0004,1076
Wed Mar 15 2023,SPXW230315C03735000,0,0,124.3,126.2,0,0.5021,0.9919,0.0004,0,3735.00,SPXW230315P03735000,0.15,-0.1,0.1,0.2,2195,0.6321,-0.0081,0.0004,502
Wed Mar 15 2023,SPXW230315C03740000,131,-26.85,119.4,121.2,1,0.4834,0.9904,0.0005,75,3740.00,SPXW230315P03740000,0.15,-0.125,0.15,0.2,4352,0.6216,-0.0096,0.0005,3708
Wed Mar 15 2023,SPXW230315C03745000,100.05,-52.75,114.4,116.3,21,0.5691,0.9885,0.0006,0,3745.00,SPXW230315P03745000,0.22,-0.08,0.2,0.25,2332,0.6093,-0.0115,0.0006,818
Wed Mar 15 2023,SPXW230315C03750000,108.2,-39.6,109.7,111.1,57,0.5472,0.9862,0.0007,570,3750.00,SPXW230315P03750000,0.3,-0.05,0.25,0.3,8530,0.6121,-0.0138,0.0007,8270
Wed Mar 15 2023,SPXW230315C03755000,99.17,-43.73,104.5,106.4,4,0.5253,0.9834,0.0008,2,3755.00,SPXW230315P03755000,0.32,-0.08,0.3,0.35,2680,0.5955,-0.0166,0.0008,1206
Wed Mar 15 2023,SPXW230315C03760000,94.61,-43.29,99.6,101.4,22,0.5452,0.98,0.001,43,3760.00,SPXW230315P03760000,0.35,-0.125,0.35,0.45,4947,0.5844,-0.02,0.001,1185
Wed Mar 15 2023,SPXW230315C03765000,107.94,-25.06,94.7,96.5,5,0.5508,0.9758,0.0011,1,3765.00,SPXW230315P03765000,0.45,-0.1,0.45,0.5,4468,0.5819,-0.0242,0.0011,2543
Wed Mar 15 2023,SPXW230315C03770000,78.6,-49.5,89.8,91.6,30,0.5491,0.9709,0.0013,3,3770.00,SPXW230315P03770000,0.57,-0.08,0.55,0.65,7648,0.575,-0.0291,0.0013,1336
Wed Mar 15 2023,SPXW230315C03775000,74.48,-48.72,85.4,86.8,2,0.5425,0.9651,0.0016,8,3775.00,SPXW230315P03775000,0.7,-0.05,0.7,0.8,10469,0.5687,-0.0349,0.0016,1969
Wed Mar 15 2023,SPXW230315C03780000,85.1,-33.2,80.1,81.9,128,0.5399,0.9582,0.0018,13,3780.00,SPXW230315P03780000,0.9,0.025,0.85,0.9,8075,0.5653,-0.0418,0.0018,1723
Wed Mar 15 2023,SPXW230315C03785000,71.65,-41.85,75.9,76.6,3,0.5326,0.95,0.0022,9,3785.00,SPXW230315P03785000,1.08,0.03,1.05,1.15,6036,0.5575,-0.05,0.0022,1333
